iter,change,payment_base,coding,selection_shift,selection,codes_added,extraction,profit_base,profit
1,0.10519669992772779,7792211.332222286,177881.4646787609,478532.73616660904,676990.5229759939,60.01182130694965,854871.9876547548,-7.493841614329052e-10,854871.9876547542
2,0.016005791326378315,6994959.625649629,118399.65625458786,288289.812433668,612918.4638277382,60.041215305991884,731318.1200823261,-797251.7065726565,-65933.58649033037
3,0.008625596131449495,6988975.203310936,126050.32717139304,317151.06549453107,621991.1834033583,60.00980472291517,748041.5105747513,-803236.128911351,-55194.61833659964
