key,rep,fold,iter,change,coding,selection,extraction,payment_base
cms_robust_adv,0,0,1,0.10908734380500151,112847.5070029272,694042.4603610312,806889.9673639585,7747758.872329496
cms_robust_adv,0,0,2,0.0044993578485793264,91888.64504369447,655383.2101365863,747271.8551802807,6937179.324842907
cms_robust_adv,0,1,1,0.10008040619432103,100500.49724800735,644858.0565933429,745358.5538413503,7839875.573365916
cms_robust_adv,0,1,2,0.013436351360991621,81540.9315942072,621042.0523918123,702582.9839860195,7086116.104594964
cms_robust_adv,0,1,3,0.013186277782178506,79676.82189001725,610402.090598945,690078.9124889623,7074806.462122215
cms_robust_adv,0,1,4,0.01215001147543075,82538.13874292429,624000.76885454,706538.9075974643,7084899.588026613
cms_robust_adv,0,1,5,0.01192249492924761,77537.4217934218,609742.130789001,687279.5525824229,7077125.374479277
cms_robust_adv,0,1,6,0.022152611945090758,83671.80860517494,617013.234574505,700685.0431796799,7084398.253894937
cms_robust_adv,0,1,7,0.002562714686956263,84186.34634908238,619993.1914173452,704179.5377664276,7081816.584836909
cms_robust_adv,0,2,1,0.09942009439555159,104604.47083599884,648256.6025287885,752861.0733647874,7720321.537310265
cms_robust_adv,0,2,2,0.02754971667272521,83207.24246749589,604211.4509433869,687418.6934108827,6960715.249206772
cms_robust_adv,0,2,3,0.012634033617481414,81666.11786389821,600927.1834627545,682593.3013266526,6979098.655110838
cms_robust_adv,0,2,4,0.009390048899247425,81910.57562541107,597493.2633123209,679403.838937732,6969451.687344096
cms_robust_adv,0,3,1,0.09979215759058233,112396.88916548878,664672.0089749346,777068.8981404233,7849544.538512897
cms_robust_adv,0,3,2,0.008875323933828935,87083.31191884776,615680.1620361528,702763.4739550005,7073588.846010967
cms_robust_adv,0,4,1,0.10109902322776018,101953.44912757483,642863.1128943163,744816.5620218911,7822305.2186631905
cms_robust_adv,0,4,2,0.00584593382022571,89648.96436217209,618272.0485278574,707921.0128900295,7060467.709026051
cms_robust_adv,1,0,1,0.10360016447711386,110093.25534431194,640661.7722947396,750755.0276390516,7706709.127490269
cms_robust_adv,1,0,2,0.005481497239778598,92555.88369625508,589510.7826993804,682066.6663956355,6944860.759501996
cms_robust_adv,1,1,1,0.10344226709798755,106527.03474663304,671502.8870097422,778029.9217563752,7691756.850028059
cms_robust_adv,1,1,2,0.00814500469358346,85346.06566000675,634692.2266685384,720038.2923285451,6914254.148751064
cms_robust_adv,1,2,1,0.10395449351223116,100840.3665702865,685267.5426512337,786107.9092215202,7839548.583387757
cms_robust_adv,1,2,2,0.010214105903768289,82987.19323504299,618523.6114488652,701510.8046839081,7043088.802954736
cms_robust_adv,1,2,3,0.006451224731573167,81368.11292132168,602241.7725890515,683609.8855103732,7071871.403685516
cms_robust_adv,1,3,1,0.10121638905756435,107937.7982141972,652016.5168303925,759954.3150445897,7791780.66299234
cms_robust_adv,1,3,2,0.005792525984867972,90280.48068692021,610984.2630906936,701264.7437776139,7023436.43023978
cms_robust_adv,1,4,1,0.10007880834800507,109124.94595054742,662757.8722394264,771882.8181899738,7933963.901926656
cms_robust_adv,1,4,2,0.010133658150994878,90718.18581717854,618425.5670088261,709143.7528260046,7153626.471935687
cms_robust_adv,1,4,3,0.008263445797577722,87312.51076100658,617307.0828611112,704619.5936221178,7158534.040603676
cms_robust_adv,2,0,1,0.0957404518157923,101206.83078348935,578529.0845940763,679735.9153775657,7589603.678221241
cms_robust_adv,2,0,2,0.011510626982771851,79350.16038751467,540940.7139986459,620290.8743861605,6907669.148217298
cms_robust_adv,2,0,3,0.01168845568925058,80711.7734627523,545383.0034793688,626094.7769421211,6901070.63257617
cms_robust_adv,2,0,4,0.012743421387118838,80671.84418421082,539876.1227528466,620547.9669370574,6901216.112678842
cms_robust_adv,2,0,5,0.009983055321270536,78909.46911952899,542268.1089591276,621177.5780786566,6899772.027693687
cms_robust_adv,2,1,1,0.10080933415087857,106470.34557528025,680828.9534546953,787299.2990299755,7938423.779872148
cms_robust_adv,2,1,2,0.010668290920072708,87007.23339723071,625049.8788532297,712057.1122504604,7146630.282231109
cms_robust_adv,2,1,3,0.010503689233829227,85590.8982565455,651110.3409808478,736701.2392373934,7163396.071770022
cms_robust_adv,2,1,4,0.008791250593998465,86290.20931350702,628767.0007949024,715057.2101084094,7135151.74756808
cms_robust_adv,2,2,1,0.1040088449420079,108588.07566579076,640020.6200144556,748608.6956802465,7788052.532147747
cms_robust_adv,2,2,2,0.006951416535660254,94517.02617665361,617746.4135906153,712263.4397672688,7021812.377388687
cms_robust_adv,2,3,1,0.09903159318520671,106259.74163444167,654192.8298700427,760452.5715044844,7845063.184426741
cms_robust_adv,2,3,2,0.01048653566256973,85476.90303027499,601728.8920980389,687205.7951283139,7074180.278022904
cms_robust_adv,2,3,3,0.018730207625545052,86445.52361081087,611296.0500283028,697741.5736391137,7094984.239617434
cms_robust_adv,2,3,4,0.0049661109556187,90935.18745203543,613008.6331450002,703943.8205970356,7078892.028263073
cms_robust_adv,2,4,1,0.1062798657317969,113990.98961947032,686907.2029157045,800898.1925351748,7784970.590436618
cms_robust_adv,2,4,2,0.009232916066580225,94715.31765499887,624871.4502641063,719586.7679191051,6986476.541287402
