key,rep,fold,iter,change,coding,selection,extraction,payment_base
gbm_robust_adv,0,0,1,0.06098175397243887,667057.2652339945,354310.76868079475,1021368.0339147892,7722098.303386384
gbm_robust_adv,0,0,2,0.049117115349047405,619055.7871082273,317707.6103567702,936763.3974649975,7656769.992528508
gbm_robust_adv,0,0,3,0.0507121575934628,779439.6741101638,389606.70224499033,1169046.3763551542,7660874.028503053
gbm_robust_adv,0,0,4,0.05100297991926769,829337.8290896579,391789.94717228337,1221127.7762619413,7648880.192282741
gbm_robust_adv,0,0,5,0.04859767873309169,851084.5456803801,409876.2158427739,1260960.761523154,7669484.861392488
gbm_robust_adv,0,0,6,0.04846521898331686,759546.7072024443,404431.25719112775,1163977.964393572,7680793.892317536
gbm_robust_adv,0,0,7,0.04941058336555469,650884.6093258979,359573.81465613714,1010458.423982035,7620948.01565506
gbm_robust_adv,0,0,8,0.052361386143543985,817299.9202285504,396967.2102871493,1214267.1305156997,7625815.309045391
gbm_robust_adv,0,0,9,0.04977031903497695,695962.3132915173,384480.11155464774,1080442.424846165,7674565.39781505
gbm_robust_adv,0,0,10,0.053079415806703875,667022.7767111745,400040.5104897845,1067063.287200959,7608216.586897174
gbm_robust_adv,0,1,1,0.050721107090541985,496687.66471385834,260331.86656779447,757019.5312816529,7768283.85060431
gbm_robust_adv,0,1,2,0.04426629543219194,554108.0726993211,217188.12355271907,771296.1962520401,7727617.56599865
gbm_robust_adv,0,1,3,0.0416014773606938,614182.2152618384,248057.8163897985,862240.0316516369,7561304.271429275
gbm_robust_adv,0,1,4,0.0391932520457451,599170.8949389696,272333.36481701705,871504.2597559867,7596718.495511892
gbm_robust_adv,0,1,5,0.03994738890765306,588794.6138155013,231449.36757526686,820243.9813907682,7635710.863486859
gbm_robust_adv,0,1,6,0.042907536566875064,584286.8415359202,252169.81081989896,836456.6523558191,7560253.28835842
gbm_robust_adv,0,1,7,0.04427166178090685,559509.3021893078,213602.77463229807,773112.0768216058,7666600.39639783
gbm_robust_adv,0,1,8,0.0504128624269058,739023.66220862,275417.3421867979,1014441.0043954179,7537085.668430125
gbm_robust_adv,0,1,9,0.04395338248799651,612539.4964418684,252325.09876467066,864864.595206539,7527395.028520036
gbm_robust_adv,0,1,10,0.055898123608729935,637388.6088454066,238084.62410382438,875473.2329492309,7411950.5259057935
gbm_robust_adv,0,2,1,0.05268125684942949,419368.386984027,264672.351121989,684040.7381060161,7706523.417150596
gbm_robust_adv,0,2,2,0.043393168394524236,452733.19135070697,306257.3445545826,758990.5359052896,7669648.462734579
gbm_robust_adv,0,2,3,0.043284002167911964,388052.9971053165,249485.46325333128,637538.4603586477,7644580.632902723
gbm_robust_adv,0,2,4,0.047817816591544056,310561.12771487155,238465.37314447915,549026.5008593507,7653111.117409241
gbm_robust_adv,0,2,5,0.05223881059742858,401284.5813487358,243734.40853760837,645018.9898863442,7631994.81752917
gbm_robust_adv,0,2,6,0.03932429307780103,355857.95012029674,249630.3582688595,605488.3083891562,7600394.48995603
gbm_robust_adv,0,2,7,0.0741715321422841,405404.4450372017,267574.34152095526,672978.786558157,7597965.221022317
gbm_robust_adv,0,2,8,0.08221614258741017,366575.620456831,239024.36465664767,605599.9851134787,7618181.804041478
gbm_robust_adv,0,2,9,0.08658716772586746,503132.79593044904,260205.5058994427,763338.3018298917,7657656.684755223
gbm_robust_adv,0,2,10,0.07555792044927118,464022.5404660239,226213.23428744107,690235.774753465,7669113.149486226
gbm_robust_adv,0,3,1,0.08069256199712473,882856.0575415418,350865.0139783391,1233721.0715198808,7741556.410956484
gbm_robust_adv,0,3,2,0.07414197328783452,856731.3725723358,312151.9977750915,1168883.3703474272,7635874.789375102
gbm_robust_adv,0,3,3,0.07830636240268486,972753.6977649108,417574.99710562616,1390328.694870537,7535641.19936611
gbm_robust_adv,0,3,4,0.05513658600423841,945099.6655169298,406371.45432793547,1351471.1198448653,7659332.10813783
gbm_robust_adv,0,3,5,0.053906702313069155,648600.6863770365,330788.84326720587,979389.5296442424,7593375.28088128
gbm_robust_adv,0,3,6,0.07665297938467677,982495.9954285457,364648.62186299433,1347144.6172915401,7607262.405508476
gbm_robust_adv,0,3,7,0.07516461871608429,1140045.950260845,417296.9952423843,1557342.9455032293,7571509.631947129
gbm_robust_adv,0,3,8,0.0740782192872238,742161.9420297852,337251.35779337544,1079413.2998231607,7631082.715883287
gbm_robust_adv,0,3,9,0.07775880322131037,908246.3102035539,426666.0340274884,1334912.3442310423,7616198.589434773
gbm_robust_adv,0,3,10,0.04679413719682781,781768.6064931488,346866.9576527779,1128635.5641459269,7694294.999377726
gbm_robust_adv,0,4,1,0.08653712758017437,642659.894691193,339307.6809674073,981967.5756586003,7801704.654780152
gbm_robust_adv,0,4,2,0.0655028461120265,718584.8219645942,367853.64079343545,1086438.4627580296,7765200.866267406
gbm_robust_adv,0,4,3,0.07083451769455672,759177.6350723067,346973.42034674843,1106151.0554190553,7690036.60822823
gbm_robust_adv,0,4,4,0.06310859199034559,647110.7140107515,347427.43050728505,994538.1445180365,7674853.695041039
gbm_robust_adv,0,4,5,0.0754003731021166,673385.454406217,329799.9580087007,1003185.4124149177,7625173.354345844
gbm_robust_adv,0,4,6,0.08076923864054088,757786.5510465311,350203.6009053234,1107990.1519518546,7638935.875177204
gbm_robust_adv,0,4,7,0.09793679692553814,645439.3927900981,346928.0607250873,992367.4535151854,7732160.773640228
gbm_robust_adv,0,4,8,0.10187364436999144,679281.1654064158,357218.5147386971,1036499.6801451129,7728695.383740903
gbm_robust_adv,0,4,9,0.05974528800162077,723811.2130610424,342559.1991194806,1066370.412180523,7668461.179518418
gbm_robust_adv,0,4,10,0.058975655819806384,653002.7075708016,354133.3374439505,1007136.0450147521,7723150.95317225
