flag,label,prevalence_pct,plausible_share_pct,cms_form_increment,incremental_cost,increment_over_cost
NVS015,Polyneuropathies,0.8212735766911087,42.11336935917871,11532.388941865138,16954.991898204844,0.6801766117674265
MUS003,Rheumatoid arthritis and related disease,1.2857309429739034,44.23632400668642,10203.418712007322,12554.61711677942,0.8127224125672706
NVS009,Epilepsy; convulsions,0.869294756307764,42.065348179562065,9437.838620057457,12002.871128403289,0.7862984213605356
GEN006,Other specified and unspecified diseases of kidney and ureters,0.8120872504691684,41.6305737905253,8879.492036337972,14081.132988673837,0.6305949985331574
CIR019,Heart failure,0.3705189947729043,46.27678282620354,8771.622101652718,15142.084252004624,0.5792876301352942
MUS026,Muscle disorders,0.664952489124567,44.85710246053576,7554.768960525001,10878.3200386498,0.6944793804267122
NEO030,Breast cancer - all other types,0.6898926428804053,40.960409513962745,6326.540731929794,7706.519265840933,0.8209336165513943
EYE005,Retinal and vitreous conditions,1.1256239636081893,41.9563457168308,6299.595798675025,8523.163086901055,0.7391147786854683
RSP008,Chronic obstructive pulmonary disease and bronchiectasis,1.276900197577666,46.36800715842819,5549.722075129484,10448.164751563772,0.5311671673533728
MBD003,Bipolar and related disorders,0.786316611512213,44.01626444353662,5386.09105218857,8095.318401775068,0.6653340591282434
INF009,"Parasitic, other specified and unspecified infections",0.4815579058987653,44.25417644683503,5088.400350139496,9288.161077422128,0.5478372207076054
GEN008,Urinary incontinence,0.5225625306789436,41.920098510315526,4964.2538569935905,10027.596359180772,0.49505920254244823
END002+END005,Diabetes mellitus without complication,7.766677651561858,39.21493512397481,4721.209444988965,5399.100582759761,0.8744436916149669
SKN001,Skin and subcutaneous tissue infections,1.124777581141926,42.378052870416305,4551.612551987296,7834.875265135591,0.5809425674256125
NEO039,Male reproductive system cancers - prostate,0.5343603686819737,41.11594178816118,4490.2099711524115,5065.543399783295,0.8864221697013797
DIG008,Other specified and unspecified disorders of stomach and duodenum,1.0675657868912714,42.31278312148269,4427.854883195842,7303.793792187599,0.6062404017939328
EYE001,Cornea and external disease,0.8411366049567368,42.24083307548226,4095.0036450379184,5811.4002526740815,0.7046500786370078
MUS013,Osteoporosis,0.5464520551639653,44.97560289449636,4037.124140122071,5842.395440765729,0.691004944984167
BLD003,Aplastic anemia,0.537086300721704,40.44414192102036,3631.7670414246813,8140.383661035184,0.4461419992780589
SYM016,Other general signs and symptoms,2.9905640560460944,41.58835451798061,3530.9371988933012,7707.359436936323,0.45812540958863723
RSP016,Other specified and unspecified lower respiratory disease,0.7308739653989241,46.91403339060693,3434.5389887420556,6599.802832818192,0.5204002416047129
