flag,label,prevalence_pct,plausible_share_pct,incremental_cost,increment_cms,rank_cms,increment_cms_pen_1,rank_cms_pen_1,increment_cms_cap_pen_dro_1,rank_cms_cap_pen_dro_1,increment_cms_robust_adv,rank_cms_robust_adv,increment_over_cost_cms
NVS016,Sleep wake disorders,4.690234262916645,38.244408672953185,4944.46627202789,2186.5140037795295,51,2077.641322651127,13,2213.364483868317,29,2165.0942079623187,35,0.44221436318601226
MBD013,Miscellaneous mental and behavioral disorders/conditions,0.8285088559835434,41.3870056919459,3187.032076736787,2133.793657939091,52,1875.615155896202,97,2054.2252473083754,43,2040.208564351398,47,0.6695237470354831
INJ027,Other unspecified injury,0.5680436008373487,41.65438779505223,3300.488216426301,2057.202727973475,53,1907.075745899851,81,1973.1449982523332,59,1950.0994257452746,60,0.6233025519481995
EYE012,Other specified eye disorders,0.7485101500934954,40.24983788844046,3100.9100516103517,2049.104201445615,54,1947.199651643392,52,1987.218179391345,53,1907.4097328223534,85,0.6608073653673001
MBD002,Depressive disorders,6.635398131264854,36.85562533695182,3601.5993920530827,2016.3939921998315,55,2008.9120830492961,28,2399.237864398038,22,2361.3338628231577,24,0.5598607098415771
SYM017,Abnormal findings without diagnosis,1.6479385606134396,37.23411502873854,2090.940870555817,1955.5806105791573,56,1876.8965499983472,95,1873.8265784289445,105,1869.8619727201772,110,0.9352634682870405
FAC012,Other specified encounters and counseling,1.5852619199014217,44.020355587606,4128.457220921409,1948.1040464494295,57,1928.2947021492012,68,2032.0908443256321,44,2047.2983195839383,46,0.4718721648797034
EYE009,Refractive error,1.8503487444781217,41.23162093596086,2387.2617749048272,1902.921337875677,58,1945.415558210626,53,1924.9162323637674,78,1912.6523707869621,83,0.7971146515557728
FAC009,"Implant, device or graft related encounter",1.4286989628742648,41.30105179889043,3960.9362465111344,1886.8953068930266,59,1910.836889828037,78,2412.3929698597503,20,2387.996905704667,21,0.4763760862233111
RSP009,Asthma,5.633817497576048,42.01108985842981,3712.333411177228,1839.4912594442224,60,1960.0987797260743,45,2181.951741804757,32,2156.775191719249,37,0.49550809577227506
SYM010,Nervous system signs and symptoms,1.7676980843366972,42.811220489690015,3805.2617578440245,1825.3350738524975,61,1897.6106148958715,84,1987.5473030651383,52,1949.6446957642038,61,0.47968712535736074
EYE003,Glaucoma,1.3463777867739466,27.121138529331816,2393.659530859568,1800.983316794871,62,1944.164535674556,54,1918.7624658177597,80,1907.4982524903369,84,0.7523974456585036
INJ064,"Other unspecified injuries, subsequent encounter",2.88480624793401,42.175700902746435,2912.274543160094,1661.7090169142011,63,1924.33998992299,71,1966.0988115945224,62,1952.3089467083923,58,0.5705880377304983
MBD007,Trauma- and stressor-related disorders,1.6868876587459207,41.568578410672195,2595.182975209266,1622.2277938402744,64,1875.2225846490182,98,2061.296175346986,41,2063.136172454787,45,0.6250918757316001
FAC014,Medical examination/evaluation,1.8618319366844973,43.74378557082292,2278.2587218413955,1445.243314249674,65,1889.324145413607,89,1883.3970215856477,99,1877.8777457937883,104,0.6343631214463477
SKN007,Other specified and unspecified skin disorders,4.708137103527612,38.79469334803063,2101.514701997992,1391.8432221288517,66,1997.2523896885903,31,1963.286175727378,64,1944.7893109279828,63,0.6623047751250906
SYM013,Respiratory signs and symptoms,2.3212716650431244,42.25764690898359,2866.259101252583,1302.3748340495529,67,1884.1979086005638,92,1879.6025493817147,101,1874.6996664067801,107,0.454381403788793
SYM014,Skin/Subcutaneous signs and symptoms,1.7318822987353548,42.84703627529135,1707.6125969064533,1222.6102724772209,68,1877.9392515714546,94,1874.9698527277744,104,1870.819527891893,109,0.7159763723294893
MUS010,"Musculoskeletal pain, not low back pain",8.280831730533334,37.24122321912699,1949.0810082313667,1188.7832933052484,69,1857.068415876124,107,2006.5519620133048,47,2070.9946299761964,43,0.609919899832164
