key,rep,fold,iter,change,payment_base,coding,selection_shift,selection,codes_added,extraction,profit_base,profit
gbm_robust_adv,0,0,1,0.11453082868053634,7745771.039204124,785939.4490987732,437267.8077653866,-232781.75133739438,60.01075971548583,553157.6977613788,-2.9723883666674777e-10,553157.6977613785
gbm_robust_adv,0,0,2,0.1137442166452596,7850636.286588298,1151812.979863506,483691.5371341939,-166191.21708911768,60.021836632227114,985621.7627743884,104865.24738417106,1090487.0101585593
gbm_robust_adv,0,0,3,0.08238924140271178,7979530.773163705,935893.3703645077,555805.2638976956,-156343.0637421598,60.01435569213116,779550.3066223478,233759.73395958,1013310.0405819278
gbm_robust_adv,0,0,4,0.10262690850849286,7813637.568844,1889460.0911828028,757708.4617427633,62914.31746073589,60.00728281572712,1952374.4086435388,67866.52963987406,2020240.9382834127
gbm_robust_adv,0,0,5,0.08702859938646179,7801901.103616067,636072.3962936285,323364.58123990847,-259632.78500456727,60.021119465504604,376439.61128906126,56130.06441194253,432569.67570100375
gbm_robust_adv,0,0,6,0.09043871087138715,7633722.955859968,1776961.0354849296,661408.4257056235,-52089.034064893676,60.08050438005874,1724872.0014200357,-112048.08334415719,1612823.9180758784
gbm_robust_adv,0,0,7,0.1130226161846765,7746279.993226226,729704.5510575855,335626.35528689844,-258776.2143844447,60.00040428150074,470928.3366731408,508.95402210011434,471437.29069524084
gbm_robust_adv,0,0,8,0.12522341906026238,7635173.629729358,1645768.9412474958,623926.4764081491,-31626.415879637556,60.045699128972046,1614142.5253678584,-110597.40947476872,1503545.1158930892
gbm_robust_adv,0,0,9,0.11505830059801517,7776599.162766821,683805.6541553637,349975.56716484256,-281066.5294620955,60.05086681570785,402739.12469326815,30828.12356269582,433567.24825596384
gbm_robust_adv,0,0,10,0.11629332046413246,7786421.213599851,2551014.109183377,848669.3524911084,166328.43532312752,60.01139143806489,2717342.5445065047,40650.17439572645,2757992.7189022317
gbm_robust_adv,0,1,1,0.06705819152658812,7809673.7130569,449976.36345415976,382367.072902044,-181870.20189206238,60.01881106147849,268106.1615620974,6.954588999752916e-10,268106.1615620981
gbm_robust_adv,0,1,2,0.06736359085100746,7974749.0630600415,433424.64546950295,363568.9990446587,-125679.5385412258,60.00427811148616,307745.1069282772,165075.35000314345,472820.4569314206
gbm_robust_adv,0,1,3,0.0664996623745063,7921089.036451894,695996.6295583014,611266.6679676016,-103479.09696662126,60.005396949006474,592517.5325916802,111415.32339499568,703932.8559866758
gbm_robust_adv,0,1,4,0.07416756662984603,7694899.784924689,537909.9728350719,422335.5924294975,-200791.21952107744,60.00322965365561,337118.7533139944,-114773.92813220946,222344.82518178498
gbm_robust_adv,0,1,5,0.13632124695795741,7829462.9792391285,636240.0379807847,445848.7067268387,-115064.33942193969,60.00572414482211,521175.6985588449,19789.26618223036,540964.9647410754
gbm_robust_adv,0,1,6,0.16055135410268517,7563067.970371829,641638.4419420799,353875.2417484178,-302585.88393896725,60.0535788498748,339052.55800311273,-246605.74268506956,92446.81531804323
gbm_robust_adv,0,1,7,0.12362904416351243,8085218.237879641,769548.4763623633,513080.8203405875,-42400.924998191,60.02941378547214,727147.5513641724,275544.52482274343,1002692.0761869159
gbm_robust_adv,0,1,8,0.12723586043979396,7904377.133485537,1208834.2513879603,677911.3358512666,-84357.6212604093,60.01927798142849,1124476.630127551,94703.42042863928,1219180.05055619
gbm_robust_adv,0,1,9,0.07166198933966696,7988779.587622386,337997.9871292777,306017.2295808188,-135767.4984926997,60.00224192419169,202230.48863657803,179105.8745654887,381336.3632020666
gbm_robust_adv,0,1,10,0.04913856935346461,7831591.217241408,580984.8976714275,401131.3151492662,-145513.2762043812,60.00588089036244,435471.62146704615,21917.50418450894,457389.1256515551
gbm_robust_adv,0,2,1,0.0736073341703859,7728690.128571231,693973.0279523627,458221.49553775706,-176994.02379092295,60.016728070374484,516979.0041614398,-9.56082319123801e-11,516979.00416143966
gbm_robust_adv,0,2,2,0.07813286677514827,7741146.512257058,1293101.3060303899,335869.27397537045,-26742.598044086226,60.00126290433895,1266358.7079863038,12456.383685827896,1278815.0916721318
gbm_robust_adv,0,2,3,0.08286445727389413,7959518.920118759,1098753.314118856,686467.8387771007,16910.145309936343,60.02025514453594,1115663.4594287926,230828.79154752815,1346492.2509763208
gbm_robust_adv,0,2,4,0.07133475116729196,7607084.298241309,522167.14288682136,241138.99637273845,-233522.80013341008,60.027117196863536,288644.34275341127,-121605.83032992235,167038.51242348892
gbm_robust_adv,0,2,5,0.10829684158413448,7641553.003510382,1396628.758091787,687796.1159358068,20597.531731338408,60.08379147406802,1417226.2898231256,-87137.12506084907,1330089.1647622765
gbm_robust_adv,0,2,6,0.1319265600162823,7452344.158672281,984875.9540145643,225060.80362967972,-179209.85701978253,60.07112526410786,805666.0969947818,-276345.9698989514,529320.1270958304
gbm_robust_adv,0,2,7,0.13154632454883183,7608661.974985903,1826588.0065371708,749781.7530274718,101385.19066154673,60.00823448054806,1927973.1971987174,-120028.15358532872,1807945.0436133884
gbm_robust_adv,0,2,8,0.14355744852450525,7297601.289164306,962173.7606574233,204078.2257137034,-190657.67931989967,60.01261799629526,771516.0813375236,-431088.8394069258,340427.24193059764
gbm_robust_adv,0,2,9,0.11774358370115698,7610369.884463591,1232767.412077827,516128.9181016198,43818.40002479336,60.04285883388507,1276585.8121026203,-118320.24410764033,1158265.56799498
gbm_robust_adv,0,2,10,0.08111917156529645,7272460.518569621,905937.4984095754,153006.15822866172,-138874.32336759887,60.02180146905154,767063.1750419765,-456229.6100016101,310833.56504036643
gbm_robust_adv,0,3,1,0.07449759232985453,7854807.12849452,716038.9458398175,409101.3480643766,-248197.8546325091,60.02404979628716,467841.0912073084,3.4964182595103644e-10,467841.0912073087
gbm_robust_adv,0,3,2,0.07160969828599435,8019071.814127939,1053008.714053616,460548.2284677085,-180923.2349497797,60.005033105007215,872085.4791038362,164264.68563341832,1036350.1647372545
gbm_robust_adv,0,3,3,0.08853713713154411,8084214.682720414,1010938.2451245403,612799.7952931734,-131892.18904753626,60.01569315349123,879046.056077004,229407.55422589497,1108453.6103028988
gbm_robust_adv,0,3,4,0.09455388676793791,7911366.815725093,882495.0229062608,361924.3950037459,-189522.34918545437,60.066231396225845,692972.6737208064,56559.687230572876,749532.3609513793
gbm_robust_adv,0,3,5,0.10768634656102656,7929181.924769594,1491937.0474980134,697103.6918848694,-39319.335186160744,60.01697914903474,1452617.7123118525,74374.79627507419,1526992.5085869269
gbm_robust_adv,0,3,6,0.11538859265182765,7914872.207984642,1096988.7858095167,311165.44602068776,-158048.29614427476,60.009106182905725,938940.4896652419,60065.07949012286,999005.5691553646
gbm_robust_adv,0,3,7,0.10614616475360902,8206650.652680551,1903911.939838211,922848.5506277017,98008.06641124685,60.05201921830501,2001920.006249458,351843.5241860303,2353763.530435488
gbm_robust_adv,0,3,8,0.08508151816945919,7887173.268139557,1577141.392562566,671021.9304202488,-7524.771047032658,60.010302412221854,1569616.6215155334,32366.139645036834,1601982.7611605702
gbm_robust_adv,0,3,9,0.09665931627101315,7849423.315502726,1100439.5789825823,557944.2929860018,-115129.30654269525,60.021043709523084,985310.2724398872,-5383.812991793039,979926.4594480941
gbm_robust_adv,0,3,10,0.11196935361919377,7795687.07907871,1210846.8768122056,312557.6408183842,-145502.37343177438,60.05172865196481,1065344.503380431,-59120.0494158103,1006224.4539646212
gbm_robust_adv,0,4,1,0.0883065176577373,7820478.124457407,828051.704464837,579534.9969118631,-210514.31116554982,60.049093432352564,617537.3932992871,1.3104012431401553e-10,617537.3932992874
gbm_robust_adv,0,4,2,0.08301458929532471,7908590.008560435,777901.146977592,457853.9432469904,-239036.6314263852,60.00084151361066,538864.5155512068,88111.88410302828,626976.399654235
gbm_robust_adv,0,4,3,0.10927325101165598,7958537.661471824,2284627.435648443,961774.8749499471,136642.9223899175,60.00828764558883,2421270.3580383607,138059.53701441866,2559329.895052779
gbm_robust_adv,0,4,4,0.10489275555528835,7543472.412704202,1190454.9003409653,554313.538170312,-166729.3321479588,60.01093733142778,1023725.5681930064,-277005.71175320423,746719.8564398022
gbm_robust_adv,0,4,5,0.13887591672794566,7588796.290221425,1944600.0177070377,829931.9889344611,49911.1306806518,60.026073552129624,1994511.1483876896,-231681.8342359822,1762829.3141517073
gbm_robust_adv,0,4,6,0.10637469841450954,7137588.782413666,1324015.1021990208,242503.58136106472,-142126.1538736464,60.02892543618832,1181888.9483253744,-682889.3420437404,498999.6062816339
