key,sweep,value,rep,fold,r2_ungamed,r2_post,payment_base,coding,selection_shift,selection,codes_added,extraction,selection_ungamed,selection_interaction,profit_base,profit,nc_ungamed|Income below 200% FPL,nc_post|Income below 200% FPL,sel_share|Income below 200% FPL,nc_ungamed|Hispanic,nc_post|Hispanic,sel_share|Hispanic,nc_ungamed|Non-Hispanic Black,nc_post|Non-Hispanic Black,sel_share|Non-Hispanic Black,nc_ungamed|Non-Hispanic Asian,nc_post|Non-Hispanic Asian,sel_share|Non-Hispanic Asian,nc_ungamed|Needs ADL or IADL help,nc_post|Needs ADL or IADL help,sel_share|Needs ADL or IADL help,nc_ungamed|Mental health condition,nc_post|Mental health condition,sel_share|Mental health condition,nc_ungamed|Age 65 and over,nc_post|Age 65 and over,sel_share|Age 65 and over,nc_ungamed|Uninsured all year,nc_post|Uninsured all year,sel_share|Uninsured all year,distinct_codes,top_code_share,top_code
cms,cost per code,0.0,0,0,0.12477123598468831,0.09852060013491448,7853613.325526106,622689.4132753917,616467.8395077708,710267.8863569284,60.100574442299546,1332957.29963232,595026.035808609,115241.85054831947,-111070.99733140178,1300103.5582703804,358.140828815536,1727.982040695872,1.0196603702120166,292.30198154480274,1322.6471701297487,0.996683830614844,25.370036375714125,1353.6373522570027,0.9906050203849194,-50.52812594584447,1007.1793496041046,0.9888530600844049,-8482.413594183086,-5613.530702141289,0.9572475471088235,-1539.6852309468775,851.3328571049799,1.0364856525536894,-897.5520670644705,2239.1879586724785,1.0562664402195954,903.9817220914322,1181.919299334147,1.0430653359291497,7,0.3333333333333333,NVS015
cms,cost per code,250.0,0,0,0.12477123598468831,0.09852060013491448,7853613.325526106,607664.2696648168,616467.8395077708,710267.8863569284,60.100574442299546,1317932.1560217452,595026.035808609,115241.85054831947,-111070.99733140178,1285078.4146598056,358.140828815536,1727.982040695872,1.0196603702120166,292.30198154480274,1322.6471701297487,0.996683830614844,25.370036375714125,1353.6373522570027,0.9906050203849194,-50.52812594584447,1007.1793496041046,0.9888530600844049,-8482.413594183086,-5613.530702141289,0.9572475471088235,-1539.6852309468775,851.3328571049799,1.0364856525536894,-897.5520670644705,2239.1879586724785,1.0562664402195954,903.9817220914322,1181.919299334147,1.0430653359291497,7,0.3333333333333333,NVS015
cms,cost per code,500.0,0,0,0.12477123598468831,0.09852060013491448,7853613.325526106,592639.1260542419,616467.8395077708,710267.8863569284,60.100574442299546,1302907.0124111704,595026.035808609,115241.85054831947,-111070.99733140178,1270053.2710492306,358.140828815536,1727.982040695872,1.0196603702120166,292.30198154480274,1322.6471701297487,0.996683830614844,25.370036375714125,1353.6373522570027,0.9906050203849194,-50.52812594584447,1007.1793496041046,0.9888530600844049,-8482.413594183086,-5613.530702141289,0.9572475471088235,-1539.6852309468775,851.3328571049799,1.0364856525536894,-897.5520670644705,2239.1879586724785,1.0562664402195954,903.9817220914322,1181.919299334147,1.0430653359291497,7,0.3333333333333333,NVS015
cms,cost per code,1000.0,0,0,0.12477123598468831,0.09852060013491448,7853613.325526106,562588.8388330921,616467.8395077708,710267.8863569284,60.100574442299546,1272856.7251900206,595026.035808609,115241.85054831947,-111070.99733140178,1240002.9838280808,358.140828815536,1727.982040695872,1.0196603702120166,292.30198154480274,1322.6471701297487,0.996683830614844,25.370036375714125,1353.6373522570027,0.9906050203849194,-50.52812594584447,1007.1793496041046,0.9888530600844049,-8482.413594183086,-5613.530702141289,0.9572475471088235,-1539.6852309468775,851.3328571049799,1.0364856525536894,-897.5520670644705,2239.1879586724785,1.0562664402195954,903.9817220914322,1181.919299334147,1.0430653359291497,7,0.3333333333333333,NVS015
cms,cost per code,2000.0,0,0,0.12477123598468831,0.09852060013491448,7853613.325526106,502488.2643907926,616467.8395077708,710267.8863569284,60.100574442299546,1212756.1507477209,595026.035808609,115241.85054831947,-111070.99733140178,1179902.4093857813,358.140828815536,1727.982040695872,1.0196603702120166,292.30198154480274,1322.6471701297487,0.996683830614844,25.370036375714125,1353.6373522570027,0.9906050203849194,-50.52812594584447,1007.1793496041046,0.9888530600844049,-8482.413594183086,-5613.530702141289,0.9572475471088235,-1539.6852309468775,851.3328571049799,1.0364856525536894,-897.5520670644705,2239.1879586724785,1.0562664402195954,903.9817220914322,1181.919299334147,1.0430653359291497,7,0.3333333333333333,NVS015
cms,cost per code,3000.0,0,0,0.12477123598468831,0.09852060013491448,7853613.325526106,442387.68994849303,616467.8395077708,710267.8863569284,60.100574442299546,1152655.5763054213,595026.035808609,115241.85054831947,-111070.99733140178,1119801.8349434817,358.140828815536,1727.982040695872,1.0196603702120166,292.30198154480274,1322.6471701297487,0.996683830614844,25.370036375714125,1353.6373522570027,0.9906050203849194,-50.52812594584447,1007.1793496041046,0.9888530600844049,-8482.413594183086,-5613.530702141289,0.9572475471088235,-1539.6852309468775,851.3328571049799,1.0364856525536894,-897.5520670644705,2239.1879586724785,1.0562664402195954,903.9817220914322,1181.919299334147,1.0430653359291497,7,0.3333333333333333,NVS015
cms,codes per person,1,0,0,0.12477123598468831,0.09852060013491448,7853613.325526106,562588.8388330921,616467.8395077708,710267.8863569284,60.100574442299546,1272856.7251900206,595026.035808609,115241.85054831947,-111070.99733140178,1240002.9838280808,358.140828815536,1727.982040695872,1.0196603702120166,292.30198154480274,1322.6471701297487,0.996683830614844,25.370036375714125,1353.6373522570027,0.9906050203849194,-50.52812594584447,1007.1793496041046,0.9888530600844049,-8482.413594183086,-5613.530702141289,0.9572475471088235,-1539.6852309468775,851.3328571049799,1.0364856525536894,-897.5520670644705,2239.1879586724785,1.0562664402195954,903.9817220914322,1181.919299334147,1.0430653359291497,7,0.3333333333333333,NVS015
cms,codes per person,2,0,0,0.12477123598468831,0.053128972730723256,7853613.325526106,989083.2394335452,761274.052610808,815911.8964691734,120.20114888459909,1804995.1359027184,569503.7006302321,246408.19583894117,-111070.99733140178,1910548.3785435637,358.140828815536,2329.427109663498,1.0196928184741998,292.30198154480274,1754.372318961952,0.997053871992351,25.370036375714125,2065.797225656638,0.9906663180139048,-50.52812594584447,1421.0878860850491,0.9866931943707881,-8482.413594183086,-4004.747653594627,0.9604847336604219,-1539.6852309468775,2212.5427012804776,1.0388176409032275,-897.5520670644705,4242.280961204535,1.0576498760731954,903.9817220914322,1292.88464562663,1.0437917177185074,9,0.23052959501557632,NVS015
cms,codes per person,3,0,0,0.12477123598468831,-0.013445795710252506,7853613.325526106,1327470.9953610487,891381.3721592977,932902.1218634339,180.30172332689864,2260373.117224483,561812.2308090347,371089.8910543992,-111070.99733140178,2557490.077121441,358.140828815536,2920.0243971433215,1.0197866550441934,292.30198154480274,2265.134008607625,0.9970972867525522,25.370036375714125,2793.590314306779,0.9909944944222558,-50.52812594584447,1799.1667830646136,0.9866804977649594,-8482.413594183086,-2436.378843229046,0.9683374472034179,-1539.6852309468775,3451.8443169327065,1.0398039309128637,-897.5520670644705,6156.912752576956,1.0580096600860946,903.9817220914322,1387.097990619698,1.0428214712705355,12,0.19158878504672897,NVS015
cms,reach,0.02,0,0,0.12477123598468831,0.10589091786654681,7853613.325526106,213549.0262463831,494996.7697127617,640130.8752590514,20.05190634426755,853679.9015054345,598083.3841862148,42047.49107283652,-111070.99733140178,761339.5252801537,358.140828815536,1321.3212262364564,1.0220803877975342,292.30198154480274,884.3657357523268,1.0008766535934193,25.370036375714125,872.7453304286202,0.991109096132068,-50.52812594584447,652.6768677855175,0.9912296941570728,-8482.413594183086,-6619.993695440273,0.9388522330428755,-1539.6852309468775,61.68470096765526,1.0290884703857017,-897.5520670644705,893.5488944820517,1.0377120384463743,903.9817220914322,1092.3596195122798,1.0537559151830063,3,0.589041095890411,NVS015
