key,rep,fold,iter,change,coding,selection,extraction,payment_base
cms_pen_adv,0,0,1,0.09903618979830585,66333.63636597378,714573.6520209893,780907.2883869631,7735713.080570192
cms_pen_adv,0,0,2,0.0126027601292479,53687.41078238667,677898.2750212747,731585.6858036614,7002411.733374824
cms_pen_adv,0,0,3,0.015222526212634232,53405.85037111584,679941.3224382353,733347.1728093511,6995613.068688493
cms_pen_adv,0,0,4,0.008841231245577588,54478.46771068949,681106.8035867639,735585.2712974534,6995831.058652929
cms_pen_adv,0,1,1,0.0967690835953802,66417.72166798529,691691.9978631707,758109.719531156,7849035.449941545
cms_pen_adv,0,1,2,0.00785033528080507,54396.68152794876,650624.9266427236,705021.6081706723,7110811.815467068
cms_pen_adv,0,2,1,0.09230737198668343,63198.28605299394,644545.2375209349,707743.5235739289,7733862.248821568
cms_pen_adv,0,2,2,0.007919768187478245,51983.42820662658,619517.5311767351,671500.9593833616,7035102.000901212
cms_pen_adv,0,3,1,0.09723389455539627,70964.69932141104,702815.6773512607,773780.3766726718,7850265.006020793
cms_pen_adv,0,3,2,0.005722541361331371,57411.835871322946,661115.566269479,718527.4021408019,7115139.22375986
cms_pen_adv,0,4,1,0.09465143864093986,65808.82649347572,678172.5803384155,743981.4068318912,7832093.360576569
cms_pen_adv,0,4,2,0.008192926552066665,53774.51170343485,629385.7944767568,683160.3061801917,7106140.0958910035
cms_pen_adv,1,0,1,0.09396801514567593,66052.87013796864,649512.9387069381,715565.8088449067,7701349.771686236
cms_pen_adv,1,0,2,0.012619245182204504,54236.86068676547,626478.3096964165,680715.170383182,6993246.103902484
cms_pen_adv,1,0,3,0.0055575618326155945,54068.454117156696,621053.195750857,675121.6498680137,6985729.058517453
cms_pen_adv,1,1,1,0.09918341065088643,66752.62083395536,708857.267678294,775609.8885122493,7697169.405340614
cms_pen_adv,1,1,2,0.006504103679957626,53453.798164125976,671763.1402840196,725216.9384481456,6962459.83457638
cms_pen_adv,1,2,1,0.09665012137621841,65152.456865891814,689658.2570301916,754810.7138960834,7844922.282219567
cms_pen_adv,1,2,2,0.01578423691478097,54454.84986448045,646034.034804102,700488.8846685825,7107218.338055086
cms_pen_adv,1,2,3,0.013379666563228716,55563.698305057165,648733.2593706083,704296.9576756654,7119544.310982486
cms_pen_adv,1,2,4,0.004287839270507467,55366.99882678915,634043.0605350432,689410.0593618324,7114578.9722199775
cms_pen_adv,1,3,1,0.09541187139854562,66223.07796676658,675118.527287379,741341.6052541456,7796881.948712674
cms_pen_adv,1,3,2,0.006239257721340944,54104.21295207652,642120.0168856926,696224.2298377692,7076234.343430938
cms_pen_adv,1,4,1,0.09587377144354271,68122.8520801788,693381.4487064645,761504.3007866433,7933619.5975615075
cms_pen_adv,1,4,2,0.00664395797736837,55192.977468247715,668973.1601474101,724166.1376156579,7196755.936172095
cms_pen_adv,2,0,1,0.08800022317282798,60296.76619901385,588144.2111108652,648440.977309879,7594390.392836709
cms_pen_adv,2,0,2,0.013258507460887341,50137.11151375362,564426.9955957254,614564.107109479,6937223.319820055
cms_pen_adv,2,0,3,0.01304523199288705,48537.42887044095,569139.6035228078,617677.0323932488,6929865.801646512
cms_pen_adv,2,0,4,0.004358614384971394,48842.56297768764,568815.0315888603,617657.594566548,6931904.531079558
cms_pen_adv,2,1,1,0.09839274916198142,69279.45297765781,716244.7288493158,785524.1818269736,7937616.330571231
cms_pen_adv,2,1,2,0.00812151121557838,56058.65782887883,672752.6707548765,728811.3285837553,7171145.411173883
cms_pen_adv,2,2,1,0.09396582848564161,65392.57952390308,665086.3678195972,730478.9473435003,7790510.893013511
cms_pen_adv,2,2,2,0.006573999994197912,52954.468581883106,634090.6764720761,687045.1450539592,7075904.103083552
cms_pen_adv,2,3,1,0.09490785101351952,66832.14146852732,690443.5298949239,757275.6713634513,7850541.466131366
cms_pen_adv,2,3,2,0.010557420521089291,56658.13024270202,672826.1526486634,729484.2828913654,7135979.21923504
cms_pen_adv,2,3,3,0.009512158084398467,55620.76488067177,671085.8569839997,726706.6218646715,7114444.181050326
cms_pen_adv,2,4,1,0.09864418586939222,71292.68688660678,698063.6922871174,769356.3791737241,7799871.75042461
cms_pen_adv,2,4,2,0.0072006080699137005,58965.90253855651,659288.7549298056,718254.6574683621,7047390.413522474
